"idx","AID","address"
146,"A552025","4703 Quicksilver Blvd in Austin (TX)"
147,"A552059","2204 Whitestone Dr in Austin (TX)"
148,"A552811","Austin (TX)"
149,"A553074","Montopolis And Grove St in Austin (TX)"
150,"A553251","3507 Starline Drive in Austin (TX)"
151,"A554236","Austin (TX)"
152,"A554278","3002 Birdwood Circle in Austin (TX)"
153,"A554344","11821 Carrizo Springs in Travis (TX)"
154,"A554477","1657 Chippeway Lane in Austin (TX)"
155,"A554608","Austin (TX)"
156,"A555431","1647 Chippeway in Austin (TX)"
157,"A556025","9801 Menchaca Road Walgreens in Austin (TX)"
158,"A556434","2601 Light Foot Trail in Austin (TX)"
159,"A556767","7201 Levander Loop in Austin (TX)"
160,"A556815","2201 Pennsylvania Ave in Austin (TX)"
161,"A557091","Austin (TX)"
162,"A557091","Outside Jurisdiction"
163,"A557260","3600 Presidential Blvd in Austin (TX)"
164,"A557325","Natali And Swanson Ln in Austin (TX)"
165,"A560774","Austin (TX)"
166,"A561593","3101 Shoreline Dr in Austin (TX)"
167,"A563676","10004 Oak Hollow Drive in Austin (TX)"
168,"A563725","2100 Barton Springs in Austin (TX)"
169,"A563859","11200 Lakeline Mall Drive in Cedar Park (TX)"
170,"A564082","Alsatia Drive And Currin Lane in Austin (TX)"
171,"A564491","Austin (TX)"
172,"A564630","6205 North Lamar Boulevard in Austin (TX)"
173,"A565152","11300 Doyle Overton Road in Travis (TX)"
174,"A566568","7109 Boyle Drive in Austin (TX)"
175,"A566659","2508 East Riverside Dr in Austin (TX)"
176,"A566837","907 Thompson in Austin (TX)"
177,"A567441","11509 Glen Falloch Ct in Austin (TX)"
178,"A568412","Pepper Tree in Austin (TX)"
179,"A568668","Stuart Circle And Jain Lane in Austin (TX)"
180,"A568818","West Howard Lane in Austin (TX)"
181,"A568945","Airport And Springdale in Austin (TX)"
182,"A568985","Austin (TX)"
183,"A569057","8220 Research Boulevard in Austin (TX)"
184,"A569057","2004 Garden Street in Austin (TX)"
185,"A570053","6916 Providence Ave in Austin (TX)"
186,"A570239","Springdale Road And East Cesar Chavez Street in Austin (TX)"
187,"A571053","2104 East Anderson Lane in Austin (TX)"
188,"A571887","17800 Fm 1431 in Jonestown (TX)"
189,"A572200","5805 Arbor Pavilion in Austin (TX)"
190,"A572680","Austin (TX)"
191,"A572990","Ridgemont Drive in Austin (TX)"
192,"A573892","Austin (TX)"
193,"A574084","Travis (TX)"
194,"A574326","9402 Menchaca Road in Austin (TX)"
195,"A574564","11604 Stonehollow Drive in Austin (TX)"
196,"A574931","Cameron Rd And East 51St Street in Austin (TX)"
197,"A575388","Austin (TX)"
198,"A576469","East 51St And Airport Boulevard in Austin (TX)"
199,"A577114","Rundberg And Ih 35 in Austin (TX)"
200,"A577358","1501 Darjeeling Drive in Travis (TX)"
201,"A578345","Austin (TX)"
202,"A578813","Austin (TX)"
203,"A578861","Austin (TX)"
204,"A578861","Austin (TX)"
205,"A578861","Riverside in Austin (TX)"
206,"A578861","Austin (TX)"
207,"A579948","East 7Th Street And Webberville Road in Austin (TX)"
208,"A582028","8701 Keynes Ln in Austin (TX)"
209,"A582491","2102 Chicon Street in Austin (TX)"
210,"A582854","Brodie Land And Hewitt Lane in Austin (TX)"
211,"A583087","Austin (TX)"
212,"A583408","4003 Turquoise in Austin (TX)"
213,"A583951","Austin (TX)"
214,"A584775","Austin (TX)"
215,"A585197","1940 Webberville Road in Austin (TX)"
216,"A585735","1930 West Rundberg Lane in Austin (TX)"
217,"A585901","4404 Sarasota Drive in Austin (TX)"
218,"A586357","Austin (TX)"
219,"A586437","2504 Bucks Run in Austin (TX)"
220,"A586437","5Th And Perdernales Street in Austin (TX)"
221,"A586787","6805 Luchenbach Ln in Travis (TX)"
222,"A587232","Springdale Road And East 7Th Street in Austin (TX)"
223,"A587914","19 Margranita Crescent in Austin (TX)"
224,"A588601","East 12Th Street And Airport Boulevard in Austin (TX)"
225,"A588601","Oak Springs Dr & Gunter St in Austin (TX)"
226,"A588907","5217 Spicewood Springs Rd in Austin (TX)"
227,"A590339","9500 Interstate Highway 35 in Austin (TX)"
228,"A591112","Austin (TX)"
229,"A591444","Austin (TX)"
230,"A591959","Pflugerville (TX)"
231,"A591971","Austin (TX)"
232,"A591971","Austin (TX)"
233,"A592023","7628 Knockfin Drive in Austin (TX)"
234,"A592545","3300 Parker Lane in Austin (TX)"
235,"A592545","3111 Parker Lane in Austin (TX)"
236,"A592679","2009 Far Gallant Dr in Travis (TX)"
237,"A594659","Fireoak Drive And Barrington Way in Austin (TX)"
238,"A595061","Rollingwood Dr And South Mopac in Austin (TX)"
239,"A595090","1010 Turtle Creek Blvd in Austin (TX)"
240,"A595090","5905 Leisure Run Rd in Austin (TX)"
241,"A595963","Austin (TX)"
242,"A596066","1800 Comal in Austin (TX)"
243,"A596498","9908 Deer Chase Trail Lane in Austin (TX)"
244,"A596700","1615 Holly Street in Austin (TX)"
245,"A596885","6008 North Lamar Boulevard in Austin (TX)"
246,"A597143","Austin (TX)"
247,"A597274","Austin (TX)"
248,"A597601","206 E Croslin St in Austin (TX)"
249,"A597619","6700 Cooper Lane in Austin (TX)"
250,"A598352","Left At Shelter in Austin (TX)"
251,"A598832","820 Sirocco Drive in Austin (TX)"
252,"A598873","1309 North Ridge Drive in Austin (TX)"
253,"A599829","Fm973 And Decker Lake Road in Austin (TX)"
254,"A600858","2201 Montopolis in Austin (TX)"
255,"A601226","8611 Davis Oaks in Austin (TX)"
256,"A601455","8509 Dryfield Drive in Austin (TX)"
257,"A602060","11005 American Mustang Loop in Austin (TX)"
258,"A602482","6806 Blue Dawn Trail in Austin (TX)"
259,"A602583","5504 Ledesma Rd in Austin (TX)"
260,"A602583","1933 Littlefield St in Austin (TX)"
261,"A602700","Austin (TX)"
262,"A602952","Austin (TX)"
263,"A602954","Austin (TX)"
264,"A603018","Tillery And Lyons Road in Austin (TX)"
265,"A603361","Austin (TX)"
266,"A603886","2239 Cromwell Circle in Austin (TX)"
267,"A604853","3507 Starline Drive in Austin (TX)"
268,"A604969","Blueberry Trail in Austin (TX)"
269,"A605245","Travis (TX)"
270,"A606216","Austin (TX)"
271,"A606477","Austin (TX)"
272,"A606477","Austin (TX)"
273,"A606477","Austin (TX)"
274,"A607020","Travis (TX)"
275,"A607075","1156 W Cesar Chavez St in Austin (TX)"
276,"A607233","6003 Jain Ln in Austin (TX)"
277,"A607233","Pflugerville (TX)"
278,"A607533","Austin (TX)"
279,"A607627","Austin (TX)"
280,"A607934","6805 Wood Hollow Drive in Austin (TX)"
281,"A608012","Austin (TX)"
282,"A608756","15017 Babbling Brook Dr in Austin (TX)"
283,"A609515","1938 Holly Hill Street in Austin (TX)"
284,"A609635","8733 Crumley Ranch Road in Travis (TX)"
285,"A609910","2600 Water Well Ln in Austin (TX)"
286,"A610220","Austin (TX)"
287,"A610406","Austin (TX)"
288,"A610476","12609 Dessau Road in Austin (TX)"
289,"A610566","6100 Devonshire in Austin (TX)"
290,"A610566","Outside Jurisdiction"
291,"A610578","Austin (TX)"
292,"A611097","Austin (TX)"
293,"A611127","Outside Jurisdiction"
294,"A611226","Dovehill in Austin (TX)"
295,"A611647","12915 Von Quintus Road in Travis (TX)"
296,"A611960","Rayburn Lane And Tower Trail in Austin (TX)"
297,"A612028","Travis (TX)"
298,"A612076","2405 Kumquat Ct in Austin (TX)"
299,"A612848","King Edward Place And Middleham Place in Austin (TX)"
300,"A612857","4705 Leather Leaf Trail in Austin (TX)"
301,"A612881","5112 S 1St St in Austin (TX)"
302,"A612907","Elmsgrove Drive And Woodmore Drive in Austin (TX)"
303,"A612939","Austin (TX)"
304,"A612986","4600 Elmont Drive in Austin (TX)"
305,"A613376","5808 Levenwood in Austin (TX)"
306,"A613954","2201 W William Cannon in Austin (TX)"
307,"A614097","11517 Robert Wooding in Austin (TX)"
308,"A614104","Austin (TX)"
309,"A614104","Austin (TX)"
310,"A614175","10601 Menchaca Rd in Austin (TX)"
311,"A614265","2204 W Slaughter in Austin (TX)"
312,"A614368","Austin (TX)"
313,"A614394","Austin (TX)"
314,"A614395","Austin (TX)"
315,"A614556","4807 Russet Hill Drive in Austin (TX)"
316,"A614785","2516 Quicksilver Run Dr in Austin (TX)"
317,"A614785","2516 Quicksilver Blvd in Austin (TX)"
318,"A614785","7201 Levander Loop in Austin (TX)"
319,"A615396","Braker Lane And Milbanks Drive in Austin (TX)"
320,"A615593","Austin (TX)"
321,"A615612","Austin (TX)"
322,"A615660","Austin (TX)"
323,"A615851","1156 W Cesar Chavez St in Austin (TX)"
324,"A615920","10015 Lake Creek Pkwy in Austin (TX)"
325,"A616030","2535 Ridgepoint Drive in Austin (TX)"
326,"A616300","San Jacinto Boulevard And East Cesar Chavez in Austin (TX)"
327,"A616300","Austin (TX)"
328,"A616444","Tillery Street And Lyons Road in Austin (TX)"
329,"A616720","Austin (TX)"
330,"A616805","1700 East Slaughter Lane in Travis (TX)"
331,"A616900","183 And 812 in Austin (TX)"
332,"A617669","Austin (TX)"
333,"A617671","Austin (TX)"
334,"A617708","Carriage Hills in Manor (TX)"
335,"A617809","2200 Man O War Drive in Travis (TX)"
336,"A618334","515 East Slaughter Lane in Austin (TX)"
337,"A618334","12820 North Lamar Boulevard in Austin (TX)"
338,"A618391","1912 East William Cannon in Austin (TX)"
339,"A618405","6204 Tiner Trail in Austin (TX)"
340,"A618405","11245 Avering Lane in Austin (TX)"
341,"A618681","Pflugerville (TX)"
342,"A618883","Cedar Park (TX)"
343,"A619009","Austin (TX)"
344,"A619052","1015 W William Cannon Dr in Austin (TX)"
345,"A619084","2000 Magazine Street in Austin (TX)"
346,"A619094","4806 Turnstone in Austin (TX)"
347,"A619261","Emerald Wood Dr in Austin (TX)"
348,"A619261","5102 Glissman Road in Austin (TX)"
349,"A619359","Austin (TX)"
350,"A619451","Austin (TX)"
351,"A619692","12803 Tomanet Trail in Austin (TX)"
352,"A619991","45Th And Speedway in Austin (TX)"
353,"A620089","Austin (TX)"
354,"A620183","1220 Camino La Casta Drive in Austin (TX)"
355,"A620189","Austin (TX)"
356,"A620345","Austin (TX)"
357,"A620420","13421 Alysheba Drive in Austin (TX)"
358,"A620546","Parker And Oltorf in Austin (TX)"
359,"A620616","8503 Rosemary Lane in Austin (TX)"
360,"A620991","500 East 7 Th Street in Austin (TX)"
361,"A621011","8402 Colony Loop in Austin (TX)"
362,"A621341","1070 Mearns Meadow in Austin (TX)"
363,"A622427","7004 Onion Creek Drive in Austin (TX)"
364,"A622498","5608 Cougar Drive in Austin (TX)"
365,"A622877","Austin (TX)"
366,"A623261","Travis (TX)"
367,"A623261","Austin (TX)"
368,"A623261","Outside Jurisdiction"
369,"A623261","Outside Jurisdiction"
370,"A623261","Austin (TX)"
371,"A623395","6806 Ali Cv in Austin (TX)"
372,"A623395","Austin (TX)"
373,"A623526","Travis (TX)"
374,"A623791","12138 N Lamar Blvd in Austin (TX)"
375,"A623794","Airport Boulevard And Bolm Road in Austin (TX)"
376,"A624094","5901 East Stassney in Austin (TX)"
377,"A624298","Austin (TX)"
378,"A624327","Austin (TX)"
379,"A625412","1011 Newport Avenue in Austin (TX)"
380,"A625459","Austin (TX)"
381,"A626029","William Cannon And South 1St in Austin (TX)"
382,"A626141","2201 Willow Creek Dr in Austin (TX)"
383,"A626288","2308 Corta St in Austin (TX)"
384,"A626419","805 Huntingdon Pl in Austin (TX)"
385,"A626564","6605 Johnny Morris Cv in Austin (TX)"
386,"A626710","Austin (TX)"
387,"A626769","Richmond And Lansing in Austin (TX)"
388,"A626769","5112 South 1St in Austin (TX)"
389,"A627544","Austin (TX)"
390,"A627698","Austin (TX)"
391,"A628105","Austin (TX)"
392,"A628106","Austin (TX)"
393,"A628246","4100 South Ih 35 Frontage Road in Austin (TX)"
394,"A628586","Austin (TX)"
395,"A629185","6605 Johnny Morris Cv in Austin (TX)"
396,"A629187","6605 Johnny Morris Cv in Austin (TX)"
397,"A629556","Austin (TX)"
398,"A629559","Austin (TX)"
399,"A629726","Austin (TX)"
400,"A629726","Outside Jurisdiction"
401,"A629941","Austin (TX)"
402,"A630573","4801 Aberdeen Dr in Austin (TX)"
403,"A631050","Travis (TX)"
404,"A631292","Pearce Lane in Travis (TX)"
405,"A631349","Langston Drive in Austin (TX)"
406,"A632285","Depaul Cv And Dunbarton in Austin (TX)"
407,"A632481","1615 E 7Th in Austin (TX)"
408,"A632502","Travis (TX)"
409,"A632641","600 East Rundberg in Austin (TX)"
410,"A632641","11000 N Interstate Hwy 35 in Austin (TX)"
411,"A632791","Austin (TX)"
412,"A632791","709 Great Falls Dr in Travis (TX)"
413,"A633000","Austin (TX)"
414,"A633362","2300 W North Loop Blvd in Austin (TX)"
415,"A633362","Austin (TX)"
416,"A633363","2300 W North Loop Blvd in Austin (TX)"
417,"A633383","2303 Wagon Crossing Path in Austin (TX)"
418,"A633846","Whitsun Drive And Eskew in Austin (TX)"
419,"A634033","Highway 183 And Great Hills Trail in Austin (TX)"
420,"A634190","Mission Circle in Travis (TX)"
421,"A634193","5001 Convict Hill Road in Austin (TX)"
422,"A634226","8500 Cameron Loop in Austin (TX)"
423,"A634672","17112 Rocky Ridge Road in Austin (TX)"
424,"A634735","Austin (TX)"
425,"A635072","415 East Mary Street in Austin (TX)"
426,"A635137","Stassney And S Pleasant Valley Road in Austin (TX)"
427,"A635230","15507 Rock Creek Road in Austin (TX)"
428,"A635231","15507 Rock Creek Road in Austin (TX)"
429,"A635434","14611 Branding Iron Pass in Travis (TX)"
430,"A635698","4900 Fairview Drive in Austin (TX)"
431,"A635775","6002 Idlewood Cv in Austin (TX)"
432,"A635880","1406 Cool Shadow Dr in Austin (TX)"
433,"A635903","1009 Coronation Way in Travis (TX)"
434,"A635918","1212 W Ben White Apt 217 in Austin (TX)"
435,"A635918","Williamson (TX)"
436,"A636339","12030 North Lamar in Austin (TX)"
437,"A636339","11901 Swearingen Drive in Austin (TX)"
438,"A636500","739 W William Cannon Dr in Austin (TX)"
439,"A636847","9219 Anderson Mill Road in Austin (TX)"
440,"A637288","8800 W Hwy 290 in Austin (TX)"
441,"A637464","13802 Dois D Arc in Manor (TX)"
442,"A638046","2503 East 2Nd Street in Austin (TX)"
443,"A638670","2907 West Ave in Austin (TX)"
444,"A638930","8310 Research Boulevard in Austin (TX)"
445,"A638953","1700 E Slaughter Ln in Austin (TX)"
446,"A639605","9219 Independence Loop in Austin (TX)"
447,"A639708","2100 East 3Rd Street in Austin (TX)"
448,"A639816","Springdale Road And Gonzalez Street in Austin (TX)"
449,"A640185","1700 West Dittmar Rd in Austin (TX)"
450,"A640185","Austin (TX)"
451,"A640185","Austin (TX)"
452,"A640217","Austin (TX)"
453,"A640246","1037 East 44Th Street in Austin (TX)"
454,"A640698","Austin (TX)"
455,"A640778","7259 Wardman Dr in Travis (TX)"
456,"A641381","Austin (TX)"
457,"A641382","Austin (TX)"
458,"A642067","Austin (TX)"
459,"A642067","Outside Jurisdiction"
460,"A642142","4610 Spicewood Springs Road in Austin (TX)"
461,"A642242","Austin (TX)"
462,"A642377","2105 Cindy Lane in Austin (TX)"
463,"A642528","10000 N Lamar in Austin (TX)"
464,"A642532","6101 Devonshire Cove in Austin (TX)"
465,"A642532","Austin (TX)"
466,"A642692","1900 Barton Springs Rd in Austin (TX)"
467,"A642844","Austin (TX)"
468,"A643015","Austin (TX)"
469,"A643703","9200 North Plaza in Austin (TX)"
470,"A643703","2304 Waterway in Austin (TX)"
471,"A643862","12825 Buenos Aires in Travis (TX)"
472,"A644128","Austin (TX)"
473,"A644132","5803 Wellington Drive in Austin (TX)"
474,"A644349","Austin (TX)"
475,"A644452","Austin (TX)"
476,"A644663","Travis (TX)"
477,"A645070","Rayburn Lane And Tower Trail in Austin (TX)"
478,"A645487","4913 Hudson Bend in Travis (TX)"
479,"A645564","4603 Credo Lane in Travis (TX)"
480,"A645667","Travis (TX)"
481,"A645971","8600 Manchaca in Austin (TX)"
482,"A646062","5900 Menchaca Road in Austin (TX)"
483,"A646062","4911 Manchaca Road in Austin (TX)"
484,"A646084","7500 Bluff Springs Road in Austin (TX)"
485,"A646296","7702 Cloudberry Circle in Austin (TX)"
486,"A646370","Shoal Creek Blvd And W 11 St in Austin (TX)"
487,"A646455","515 East Slaughter Lane in Austin (TX)"
488,"A646547","13945 Us 183 Nb in Austin (TX)"
489,"A646615","12827 Meehan Drive in Austin (TX)"
490,"A646712","Austin (TX)"
491,"A646806","Byers Lane in Austin (TX)"
492,"A646806","1432 Canon Yeomans Trail in Austin (TX)"
493,"A646990","5500 Icon Street in Austin (TX)"
494,"A647155","14400 Lemongrass Lane in Travis (TX)"
495,"A647333","South 1St Street And W St Elmo in Austin (TX)"
496,"A647352","Fm 620 Rd And Four Point Rd in Austin (TX)"
497,"A647848","Manor (TX)"
498,"A647884","6318 Del Monte Rd in Austin (TX)"
499,"A647884","6318 Del Monte Road in Austin (TX)"
500,"A648029","Austin (TX)"
501,"A648219","2312 Bitter Creek Drive in Austin (TX)"
502,"A648265","Austin (TX)"
503,"A648406","15205 Wideleaf in Travis (TX)"
504,"A648430","Golden Flax Trail in Pflugerville (TX)"
505,"A648493","7201 Levander Loop in Austin (TX)"
506,"A648544","William Cannon And Eberheart Lane in Austin (TX)"
507,"A649004","Austin (TX)"
508,"A649004","Austin (TX)"
509,"A649432","7213 Nutria Run in Travis (TX)"
510,"A649595","Austin (TX)"
511,"A650097","11901 Pavilion in Austin (TX)"
512,"A650098","20 North Interstate 35 in Austin (TX)"
513,"A650157","1156 West Cesar Chavez Street in Austin (TX)"
514,"A650194","13828 Field Spar Drive in Manor (TX)"
515,"A650194","Travis (TX)"
516,"A650409","Austin (TX)"
517,"A650409","Austin (TX)"
518,"A650532","Baylor Street At Parkway in Austin (TX)"
519,"A650831","12034 Research Blvd in Austin (TX)"
520,"A650909","222 South Pleasant Valley Road in Austin (TX)"
521,"A651306","4434 Frontier Trl in Austin (TX)"
522,"A651994","Manor (TX)"
523,"A652343","702 E 45Th Half in Austin (TX)"
524,"A652493","8103 Dalmatian Lane in Austin (TX)"
525,"A652733","Springdale And Astor in Austin (TX)"
526,"A652793","1156 West Cesar Chavez in Austin (TX)"
527,"A652862","Austin (TX)"
528,"A653050","Pardoners Tale And in Austin (TX)"
529,"A653050","18525 Great Hills in Austin (TX)"
530,"A653297","East Riverside Drive And Wickersham in Austin (TX)"
531,"A653383","Austin (TX)"
532,"A653383","Austin (TX)"
533,"A653408","Windmill Ranch in Travis (TX)"
534,"A653825","Howard Ln in Travis (TX)"
535,"A653825","401 Wimberley Street in Williamson (TX)"
536,"A654600","Austin (TX)"
537,"A654892","Manor (TX)"
538,"A654946","2705 Mulford Cove in Austin (TX)"
539,"A655020","7215 Thannas Way in Austin (TX)"
540,"A655093","Manor (TX)"
541,"A655122","43Rd And Ave A in Austin (TX)"
542,"A655155","Austin (TX)"
543,"A655219","Travis (TX)"
544,"A655278","Austin (TX)"
545,"A655627","South Congress in Austin (TX)"
546,"A655643","7330 Bluff Springs in Austin (TX)"
547,"A655689","1107 Plymouth in Austin (TX)"
548,"A655838","Travis (TX)"
549,"A656041","Manor (TX)"
550,"A656153","814 Sawbuck Drive in Austin (TX)"
551,"A656693","Austin (TX)"
552,"A656862","Austin (TX)"
553,"A657077","4005 W Parmer Ln in Austin (TX)"
554,"A657146","Austin (TX)"
555,"A657146","Outside Jurisdiction"
556,"A657251","Austin (TX)"
557,"A657392","Pollyanna Avenue And East Braker Lane in Austin (TX)"
558,"A657452","6209 Tupelo Dr in Austin (TX)"
559,"A657527","5307 Presidio Road in Austin (TX)"
560,"A657651","8400 Furness Dr in Austin (TX)"
561,"A658124","460 Bastrop Highway in Austin (TX)"
562,"A658340","Austin (TX)"
563,"A658390","Convict Hill Road And Brodie Lane in Austin (TX)"
564,"A658450","Austin (TX)"
565,"A658583","2907 West Ave in Austin (TX)"
566,"A658655","Blue Goose Road And Amaranth Lane in Austin (TX)"
567,"A658733","Outside Jurisdiction"
568,"A658733","Outside Jurisdiction"
569,"A658733","Austin (TX)"
570,"A658733","Austin (TX)"
571,"A659285","Oltorf And Burleson in Austin (TX)"
572,"A659412","Austin (TX)"
573,"A659916","Bluff Springs Road And East William Cannon Drive in Austin (TX)"
574,"A660279","Romney Road in Austin (TX)"
575,"A660282","Manor (TX)"
576,"A660294","4404 Sarasota Drive in Austin (TX)"
577,"A660391","Pedernales And East 6Th Street in Austin (TX)"
578,"A660790","6825 Grey Cloud Drive in Austin (TX)"
579,"A660946","110 Kimble in Austin (TX)"
580,"A661073","3208 Lynnbrook in Travis (TX)"
581,"A661215","2769 And Bullick Hollow Road in Austin (TX)"
582,"A661638","600 Azie Morton Road in Austin (TX)"
